country,protocol,port,packet_size,duration_sec,vpn_connection,firewall_action,cloudflare_flag,endpoint_detected,user_id,service_target,year,month,day,hour,threat_type
1,2,53,0.5914763571286101,2.68,0,allow,0,0,640,Portal de constancias,2021,2,21,0,7
2,0,53,-1.218444352015422,0.14,0,allow,0,0,430,Portal de constancias,2020,3,16,0,1
2,4,443,-1.6983837485034832,2.93,0,allow,0,0,214,Web institucional,2019,6,29,0,7
3,4,80,0.990231975106253,0.97,0,allow,0,0,92,Web institucional,2022,4,18,0,5
4,4,110,1.410477416807242,0.23,0,allow,0,1,508,Portal de constancias,2024,9,24,0,0
2,1,21,1.4940489535091432,4.2,0,deny,0,1,210,Web institucional,2021,3,20,0,4
0,2,8080,-0.9916073238245473,0.24,1,allow,0,1,285,Portal de constancias,2020,1,4,0,1
0,4,53,-1.5169141259507835,4.49,0,allow,0,0,576,Sistema de óptica,2019,11,1,0,3
6,1,22,1.6014980721258734,4.72,0,deny,0,0,352,Portal de constancias,2024,11,13,0,6
3,4,8080,-0.2036471206351929,2.09,0,allow,0,0,263,Formulario de denuncias,2019,6,21,0,0
5,1,80,0.9926197332977359,4.22,0,alert,0,0,481,Portal de constancias,2021,9,14,0,0
2,1,8080,1.6277634122321851,5.61,0,allow,0,1,465,Formulario de denuncias,2019,11,4,0,5
0,3,22,-0.5689741239320754,0.26,1,allow,0,1,568,Sistema de óptica,2022,7,4,0,6
3,0,3306,-0.16305523137998376,1.34,1,alert,0,0,314,Portal de constancias,2019,2,26,0,7
5,3,25,1.1072321264889147,0.09,0,allow,0,0,569,Web institucional,2020,3,15,0,2
1,0,110,-1.5216896423337494,0.47,0,allow,0,0,160,Sistema de óptica,2024,4,14,0,4
6,2,53,1.6277634122321851,0.04,0,allow,0,0,485,Sistema de óptica,2020,10,6,0,4
1,1,3389,0.2357003865976592,0.09,1,allow,0,0,126,Sistema de óptica,2022,1,23,0,6
4,4,8080,0.6440070373412338,6.58,0,allow,0,0,264,Formulario de denuncias,2020,4,27,0,2
6,0,22,0.5293946441500549,0.16,0,allow,0,0,562,Formulario de denuncias,2019,10,19,0,0
0,1,3389,1.2409465852119568,0.6,0,allow,0,0,500,Web institucional,2022,2,16,0,5
1,0,3389,-1.3187301960577034,1.79,0,alert,0,1,32,Formulario de denuncias,2023,1,5,0,5
3,2,3306,-1.5121386095678178,1.96,1,allow,0,1,544,Web institucional,2022,12,20,0,4
3,2,25,-0.25617780084781655,4.8,0,allow,0,1,297,Portal de constancias,2022,7,15,0,3
1,2,110,-1.0154849057393762,4.87,0,deny,0,0,411,Portal de constancias,2022,6,2,0,1
4,3,80,0.240475902980625,4.17,0,deny,0,1,214,Formulario de denuncias,2019,3,17,0,2
2,4,3389,-1.7079347812694148,0.76,0,allow,0,0,263,Formulario de denuncias,2024,4,2,0,0
6,3,22,0.7729459796813098,1.01,0,allow,0,1,423,Formulario de denuncias,2020,3,28,0,1
1,2,21,1.102456610105949,2.94,0,deny,0,0,267,Sistema de óptica,2019,11,5,0,5
6,1,3306,0.08527162053423701,3.0,0,allow,0,1,266,Portal de constancias,2024,11,7,0,1
0,3,80,0.4338843164907392,2.15,0,allow,0,0,221,Formulario de denuncias,2019,2,15,0,4
2,1,80,-0.8984847543567145,3.81,1,alert,0,0,473,Sistema de óptica,2024,12,15,0,7
2,1,22,-1.065627827760517,0.97,0,deny,0,0,367,Web institucional,2021,1,21,0,6
6,3,3306,0.07572058776830544,0.55,0,allow,0,0,514,Sistema de óptica,2023,10,12,0,2
2,4,110,-0.7074640990380832,0.08,0,deny,0,0,227,Web institucional,2023,6,3,0,5
2,0,21,0.9639666349999413,1.56,0,allow,0,0,264,Web institucional,2021,1,24,0,4
0,2,3389,0.3550882961718038,1.27,0,deny,0,1,689,Web institucional,2019,8,10,0,3
3,2,21,0.7156397830857205,2.16,0,deny,0,0,124,Sistema de óptica,2019,8,10,0,5
3,2,3389,1.4821101625517288,1.95,1,allow,0,1,42,Sistema de óptica,2024,1,2,0,5
2,2,3389,-0.21558591159260737,2.02,0,allow,0,1,145,Sistema de óptica,2021,11,16,0,1
0,0,80,-1.3402200197810494,0.83,0,alert,0,0,313,Formulario de denuncias,2020,10,13,0,5
6,3,8080,-1.2542607248876654,0.88,0,allow,0,0,671,Formulario de denuncias,2020,6,1,0,5
1,3,21,1.303028298190512,3.0,0,allow,0,0,278,Web institucional,2020,9,3,0,6
1,0,110,0.6177416972349219,3.17,0,allow,0,0,572,Formulario de denuncias,2024,5,11,0,6
2,2,22,-0.46152500531534524,1.37,0,allow,0,0,421,Portal de constancias,2019,5,14,0,7
2,3,8080,-0.9605664673352696,1.6,0,deny,0,0,569,Formulario de denuncias,2023,3,24,0,7
4,2,53,0.3885169108525643,4.61,1,allow,0,0,586,Portal de constancias,2020,4,26,0,0
2,1,8080,-1.4787099948870572,0.4,0,alert,0,0,348,Portal de constancias,2023,11,1,0,5
2,1,22,-0.08187145286956543,0.66,1,allow,0,1,131,Web institucional,2021,1,6,0,0
4,4,3306,-0.9319133690374749,0.43,0,allow,0,1,304,Web institucional,2024,2,4,0,7
2,2,8080,1.123946433829295,5.72,0,allow,1,0,673,Sistema de óptica,2021,5,19,0,4
3,2,53,0.5126803368096746,0.45,0,deny,0,0,170,Formulario de denuncias,2020,12,17,0,3
2,3,443,-1.1754647045687299,4.58,0,deny,0,1,180,Portal de constancias,2021,9,4,0,5
2,1,21,1.3865998348924131,0.06,0,allow,0,1,277,Portal de constancias,2021,8,13,0,0
2,2,21,-0.5450965420172464,0.31,0,allow,0,0,58,Web institucional,2020,2,18,0,5
4,1,80,-1.3449955361640153,2.9,0,allow,0,0,346,Formulario de denuncias,2023,2,9,0,2
0,3,3306,-1.4715467203126085,1.79,0,deny,0,0,242,Sistema de óptica,2024,5,15,0,1
0,2,3306,-1.2327709011643193,0.27,0,alert,0,0,287,Formulario de denuncias,2021,9,27,0,4
