timestamp,source_ip,country,destination_ip,protocol,port,packet_size,duration_sec,vpn_connection,firewall_action,cloudflare_flag,endpoint_detected,user_id,device_id,service_target,threat_type
2021-02-21 00:00:00,190.24.169.12,Colombia,10.0.52.71,ICMP,53,1017,2.68,0,allow,0,0,640,655,Portal de constancias,SQL Injection
2020-03-16 00:00:00,168.243.232.72,El Salvador,10.0.167.212,HTTP,53,259,0.14,0,allow,0,0,430,488,Portal de constancias,DDoS
2019-06-29 00:00:00,168.243.49.62,El Salvador,10.0.35.102,UDP,443,58,2.93,0,allow,0,0,214,686,Web institucional,SQL Injection
2022-04-18 00:00:00,83.32.92.189,España,10.0.49.121,UDP,80,1184,0.97,0,allow,0,0,92,228,Web institucional,Phishing
2024-09-24 00:00:00,34.178.20.136,Estados Unidos,10.0.28.178,UDP,110,1360,0.23,0,allow,0,1,508,324,Portal de constancias,Brute Force
2021-03-20 00:00:00,168.243.107.11,El Salvador,10.0.67.76,HTTPS,21,1395,4.2,0,deny,0,1,210,376,Web institucional,Man-in-the-Middle
2020-01-04 00:00:00,177.57.77.35,Brasil,10.0.241.221,ICMP,8080,354,0.24,1,allow,0,1,285,590,Portal de constancias,DDoS
2019-11-01 00:00:00,177.59.119.151,Brasil,10.0.158.201,UDP,53,134,4.49,0,allow,0,0,576,512,Sistema de óptica,Malware
2024-11-13 00:00:00,189.203.40.14,México,10.0.45.63,HTTPS,22,1440,4.72,0,deny,0,0,352,548,Portal de constancias,Ransomware
2019-06-21 00:00:00,83.32.6.116,España,10.0.117.181,UDP,8080,684,2.09,0,allow,0,0,263,653,Formulario de denuncias,Brute Force
2021-09-14 00:00:00,80.10.94.148,Francia,10.0.254.185,HTTPS,80,1185,4.22,0,alert,0,0,481,574,Portal de constancias,Brute Force
2019-11-04 00:00:00,168.243.88.254,El Salvador,10.0.80.1,HTTPS,8080,1451,5.61,0,allow,0,1,465,73,Formulario de denuncias,Phishing
2022-07-04 00:00:00,177.208.34.180,Brasil,10.0.46.163,TCP,22,531,0.26,1,allow,0,1,568,952,Sistema de óptica,Ransomware
2019-02-26 00:00:00,83.32.206.20,España,10.0.163.209,HTTP,3306,701,1.34,1,alert,0,0,314,715,Portal de constancias,SQL Injection
2020-03-15 00:00:00,80.10.1.60,Francia,10.0.138.136,TCP,25,1233,0.09,0,allow,0,0,569,616,Web institucional,Data Exfiltration
2024-04-14 00:00:00,190.24.199.132,Colombia,10.0.8.244,HTTP,110,132,0.47,0,allow,0,0,160,144,Sistema de óptica,Man-in-the-Middle
2020-10-06 00:00:00,189.203.133.28,México,10.0.49.128,ICMP,53,1451,0.04,0,allow,0,0,485,830,Sistema de óptica,Man-in-the-Middle
2022-01-23 00:00:00,190.24.142.153,Colombia,10.0.204.92,HTTPS,3389,868,0.09,1,allow,0,0,126,257,Sistema de óptica,Ransomware
2020-04-27 00:00:00,34.161.65.135,Estados Unidos,10.0.64.234,UDP,8080,1039,6.58,0,allow,0,0,264,482,Formulario de denuncias,Data Exfiltration
2019-10-19 00:00:00,189.203.247.72,México,10.0.186.213,HTTP,22,991,0.16,0,allow,0,0,562,604,Formulario de denuncias,Brute Force
2022-02-16 00:00:00,177.44.95.20,Brasil,10.0.230.63,HTTPS,3389,1289,0.6,0,allow,0,0,500,218,Web institucional,Phishing
2023-01-05 00:00:00,190.24.37.42,Colombia,10.0.54.75,HTTP,3389,217,1.79,0,alert,0,1,32,486,Formulario de denuncias,Phishing
2022-12-20 00:00:00,83.32.101.185,España,10.0.77.145,ICMP,3306,136,1.96,1,allow,0,1,544,171,Web institucional,Man-in-the-Middle
2022-07-15 00:00:00,83.32.64.25,España,10.0.193.245,ICMP,25,662,4.8,0,allow,0,1,297,65,Portal de constancias,Malware
2022-06-02 00:00:00,190.24.117.78,Colombia,10.0.62.168,ICMP,110,344,4.87,0,deny,0,0,411,677,Portal de constancias,DDoS
2019-03-17 00:00:00,34.135.127.42,Estados Unidos,10.0.59.13,TCP,80,870,4.17,0,deny,0,1,214,335,Formulario de denuncias,Data Exfiltration
2024-04-02 00:00:00,168.243.221.179,El Salvador,10.0.210.189,UDP,3389,54,0.76,0,allow,0,0,263,773,Formulario de denuncias,Brute Force
2020-03-28 00:00:00,189.203.1.102,México,10.0.22.143,TCP,22,1093,1.01,0,allow,0,1,423,568,Formulario de denuncias,DDoS
2019-11-05 00:00:00,190.24.39.38,Colombia,10.0.9.218,ICMP,21,1231,2.94,0,deny,0,0,267,557,Sistema de óptica,Phishing
2024-11-07 00:00:00,189.203.182.76,México,10.0.119.147,HTTPS,3306,805,3.0,0,allow,0,1,266,554,Portal de constancias,DDoS
2019-02-15 00:00:00,177.25.157.70,Brasil,10.0.140.239,TCP,80,951,2.15,0,allow,0,0,221,662,Formulario de denuncias,Man-in-the-Middle
2024-12-15 00:00:00,168.243.98.223,El Salvador,10.0.155.241,HTTPS,80,393,3.81,1,alert,0,0,473,765,Sistema de óptica,SQL Injection
